Amplitude,Frequency,Phase,Negative Peak,Peak to Peak,Positive Peak,Arithmetic Mean,RMS,Standard Dev,Variance,Kurtosis,Median,Mode,Skewness,Classe
23.269969,0.002371,109.587333,-5.508273,-95.7359,186.756599,91.020699,35.877787,35.478834,1258.747697,2.631489,-7.233729,-3.291384,0.125725,Open
20.228614,0.008844,-24.566179,-1.906988,-121.875545,225.508914,103.63337,33.693297,33.6477,1132.167748,3.19807,-4.611413,-5.738454,0.145538,Open
4.019768,0.081862,-156.32508,-0.00384,-22.545449,45.654189,23.108741,6.837584,6.838871,46.770152,3.262326,0.019285,-1.772792,-0.000863,Close
18.013129,0.003136,-48.045189,-0.374182,-119.804057,302.796877,182.99282,35.672763,35.676161,1272.78845,3.62069,-2.518922,-15.339134,0.330493,Open
2.824606,0.086699,36.691397,0.004152,-22.903088,45.814339,22.911251,6.319736,6.320528,39.949071,3.382858,0.013806,-1.141277,-0.001288,Close
16.611392,0.0018,155.180898,-0.125584,-138.824067,338.358134,199.534067,35.567698,35.571296,1265.317129,4.580419,-2.0545,-8.556186,0.46655,Open
14.218063,0.002057,117.887883,1.787639,-139.399302,338.030508,198.631206,37.944567,37.905601,1436.834564,4.849174,0.327877,-9.257556,0.568516,Open
16.413749,0.001599,29.744728,-0.981138,-162.148662,341.660248,179.511587,39.723002,39.713599,1577.169931,4.377485,-1.698271,3.556559,0.254851,Open
2.271099,0.082118,-102.311652,-0.001374,-28.61856,57.367004,28.748444,6.093267,6.09365,37.132564,3.948942,0.007003,0.925447,-0.000588,Close
14.97904,0.001779,-143.298905,-0.202764,-162.224687,341.638385,179.413698,40.448528,40.450361,1636.231712,4.224978,-1.014688,3.46993,0.249916,Open
2.302155,0.080201,-75.961915,-0.001504,-28.61856,57.367004,28.748444,6.238721,6.239056,38.925822,4.058834,-0.023477,-0.221893,-0.000188,Close
13.219215,0.000646,38.568635,-0.114313,-161.481266,347.355614,185.874348,39.694212,39.696039,1575.775511,4.405324,-1.919869,3.512651,0.390253,Open
15.138951,0.001544,17.931486,0.467695,-162.024088,348.240674,186.216585,40.437578,40.43703,1635.153402,4.324532,-1.329252,-0.092175,0.381157,Open
